npa,country,region,state,timezone,status
200,001,Easily Recognizable Code,,,available
201,US,General Purpose Code | Overlay 201/551,NJ,E,active
202,US,General Purpose Code | Overlay 202/771,DC,E,active
203,US,General Purpose Code | Overlay 203/475,CT,E,active
204,CA,General Purpose Code | Overlay 204/431/584,MANITOBA,C,active
205,US,General Purpose Code | Overlay 205/659,AL,C,active
206,US,General Purpose Code | Overlay 206/564,WA,P,active
207,US,General Purpose Code,ME,E,active
208,US,General Purpose Code | Overlay 208/986,ID,MP,active
209,US,General Purpose Code | Overlay 209/350,CA,P,active
210,US,General Purpose Code | Overlay 210/726,TX,C,active
211,001,Easily Recognizable Code,,,unavailable
212,US,General Purpose Code | Overlay 212/332/646/917,NY,E,active
213,US,General Purpose Code | Overlay 213/323/738,CA,P,active
214,US,General Purpose Code | Overlay 214/469/945/972,TX,C,active
215,US,General Purpose Code | Overlay 215/267/445,PA,E,active
216,US,General Purpose Code,OH,E,active
217,US,General Purpose Code | Overlay 217/447,IL,C,active
218,US,General Purpose Code,MN,C,active
219,US,General Purpose Code,IN,EC,active
220,US,General Purpose Code | Overlay 220/740,OH,E,active
221,001,General Purpose Code,,,available
222,001,Easily Recognizable Code,,,available
223,US,General Purpose Code | Overlay 223/717,PA,E,active
224,US,General Purpose Code | Overlay 224/847,IL,C,active
225,US,General Purpose Code,LA,C,active
226,CA,General Purpose Code | Overlay 226/382/519/548,ONTARIO,E,active
227,US,General Purpose Code | Overlay 227/240/301,MD,E,active
228,US,General Purpose Code,MS,C,active
229,US,General Purpose Code,GA,E,active
230,001,General Purpose Code,,,available
231,US,General Purpose Code,MI,E,active
232,001,General Purpose Code,,,reserved
233,001,Easily Recognizable Code,,,available
234,US,General Purpose Code | Overlay 234/330,OH,E,active
235,US,General Purpose Code | Overlay 235/573,MO,C,active
236,CA,General Purpose Code | Overlay 236/250/257/604/672/778,BRITISH COLUMBIA,P,active
237,001,General Purpose Code,,,reserved
238,001,General Purpose Code,,,available
239,US,General Purpose Code,FL,E,active
240,US,General Purpose Code | Overlay 227/240/301,MD,E,active
241,001,General Purpose Code,,,available
242,BS,General Purpose Code,BAHAMAS,E,active
243,001,General Purpose Code,,,available
244,001,Easily Recognizable Code,,,available
245,001,General Purpose Code,,,reserved
246,BB,General Purpose Code,BARBADOS,A,active
247,001,General Purpose Code,,,available
248,US,General Purpose Code | Overlay 248/947,MI,E,active
249,CA,central and northeastern Ontario | General Purpose Code | Overlay 249/683/705,ONTARIO,E,active
250,CA,General Purpose Code | Overlay 236/250/257/672/778,BRITISH COLUMBIA,P,active
251,US,General Purpose Code,AL,C,active
252,US,General Purpose Code,NC,E,active
253,US,General Purpose Code,WA,P,active
254,US,General Purpose Code,TX,C,active
255,001,Easily Recognizable Code,,,available
256,US,General Purpose Code | Overlay 256/938,AL,C,active
257,CA,General Purpose Code | Overlay 236/250/257/604/672/778,BRITISH COLUMBIA,P,active
258,001,General Purpose Code,,,available
259,001,General Purpose Code,,,available
260,US,General Purpose Code,IN,E,active
261,001,General Purpose Code,,,reserved
262,US,General Purpose Code,WI,C,active
263,CA,Montreal Quebec Canada | General Purpose Code | Overlay 263/438/514,QUEBEC,E,active
264,AI,General Purpose Code,ANGUILLA,A,active
265,001,General Purpose Code,,,reserved
266,001,Easily Recognizable Code,,,available
267,US,General Purpose Code | Overlay 215/267/445,PA,E,active
268,AG,General Purpose Code,ANTIGUA/BARBUDA,A,active
269,US,General Purpose Code,MI,E,active
270,US,General Purpose Code | Overlay 270/364,KY,EC,active
271,001,General Purpose Code,,,available
272,US,General Purpose Code | Overlay 272/570,PA,E,active
273,CA,Eastern Québec | General Purpose Code | Overlay 273/367/418/581,QUEBEC,E,assigned
274,US,General Purpose Code | Overlay 274/920,WI,C,active
275,001,General Purpose Code,,,available
276,US,General Purpose Code,VA,E,active
277,001,Easily Recognizable Code,,,available
278,001,General Purpose Code,,,reserved
279,US,General Purpose Code | Overlay 279/916,CA,P,active
280,001,General Purpose Code,,,reserved
281,US,General Purpose Code | Overlay 281/346/621/713/832,TX,C,active
282,001,General Purpose Code,,,available
283,US,General Purpose Code | Overlay 283/513,OH,E,active
284,VG,General Purpose Code,BRITISH VIRGIN ISLANDS,A,active
285,001,General Purpose Code,,,available
286,001,General Purpose Code,,,available
287,001,General Purpose Code,,,reserved
288,001,Easily Recognizable Code,,,available
289,CA,General Purpose Code | Overlay 289/365/742/905,ONTARIO,E,active
290,001,General Purpose Code,,,reserved
291,001,General Purpose Code,,,reserved
292,001,General Purpose Code,,,reserved
