country,calling_code,region,status
1,+0,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
1,+1,,assigned
20,+1,,assigned
210,+20,,assigned
211,+210,,assigned
212,+211,,assigned
213,+212,,assigned
214,+213,,assigned
215,+214,,assigned
216,+215,,assigned
217,+216,,assigned
218,+217,,assigned
219,+218,,assigned
220,+219,,assigned
221,+220,,assigned
222,+221,,assigned
223,+222,,assigned
224,+223,,assigned
225,+224,,assigned
226,+225,,assigned
227,+226,,assigned
228,+227,,assigned
229,+228,,assigned
230,+229,,assigned
231,+230,,assigned
232,+231,,assigned
233,+232,,assigned
234,+233,,assigned
235,+234,,assigned
236,+235,,assigned
237,+236,,assigned
238,+237,,assigned
240,+239,,assigned
241,+240,,assigned
242,+241,,assigned
243,+242,,assigned
244,+243,,assigned
245,+244,,assigned
246,+245,,assigned
247,+246,,assigned
248,+247,,assigned
249,+248,,assigned
250,+249,,assigned
251,+250,,assigned
252,+251,,assigned
253,+252,,assigned
254,+253,,assigned
255,+254,,assigned
256,+255,,assigned
257,+256,,assigned
258,+257,,assigned
259,+258,,assigned
260,+259,,assigned
261,+260,,assigned
262,+261,,assigned
263,+262,,assigned
264,+263,,assigned
265,+264,,assigned
266,+265,,assigned
267,+266,,assigned
268,+267,,assigned
269,+268,,assigned
27,+269,,assigned
280,+27,,assigned
281,+280,,assigned
282,+281,,assigned
283,+282,,assigned
284,+283,,assigned
285,+284,,assigned
286,+285,,assigned
287,+286,,assigned
288,+287,,assigned
289,+288,,assigned
290,+289,,assigned
291,+290,,assigned
292,+291,,assigned
293,+292,,assigned
294,+293,,assigned
295,+294,,assigned
296,+295,,assigned
297,+296,,assigned
298,+297,,assigned
299,+298,,assigned
30,+299,,assigned
31,+30,,assigned
32,+31,,assigned
33,+32,,assigned
"Country, Geographical area or Global service",+33,,assigned
350,+34,,assigned
351,+350,,assigned
352,+351,,assigned
353,+352,,assigned
354,+353,,assigned
355,+354,,assigned
356,+355,,assigned
357,+356,,assigned
358,+357,,assigned
359,+358,,assigned
36,+359,,assigned
370,+36,,assigned
371,+370,,assigned
372,+371,,assigned
373,+372,,assigned
374,+373,,assigned
375,+374,,assigned
376,+375,,assigned
377,+376,,assigned
378,+377,,assigned
379,+378,,assigned
380,+379,,assigned
381,+380,,assigned
382,+381,,assigned
383,+382,,assigned
384,+383,,assigned
385,+384,,assigned
386,+385,,assigned
387,+386,,assigned
388,+387,,assigned
389,+388,,assigned
39,+389,,assigned
39,+39,,assigned
40,+39,,assigned
41,+40,,assigned
420,+41,,assigned
421,+420,,assigned
422,+421,,assigned
423,+422,,assigned
424,+423,,assigned
425,+424,,assigned
426,+425,,assigned
427,+426,,assigned
428,+427,,assigned
429,+428,,assigned
43,+429,,assigned
44,+43,,assigned
45,+44,,assigned
46,+45,,assigned
47,+46,,assigned
48,+47,,assigned
49,+48,,assigned
"Country, Geographical area or Global service",+49,,assigned
501,+500,,assigned
502,+501,,assigned
503,+502,,assigned
504,+503,,assigned
505,+504,,assigned
506,+505,,assigned
507,+506,,assigned
508,+507,,assigned
509,+508,,assigned
51,+509,,assigned
52,+51,,assigned
53,+52,,assigned
54,+53,,assigned
55,+54,,assigned
56,+55,,assigned
57,+56,,assigned
58,+57,,assigned
590,+58,,assigned
591,+590,,assigned
592,+591,,assigned
593,+592,,assigned
594,+593,,assigned
595,+594,,assigned
596,+595,,assigned
597,+596,,assigned
598,+597,,assigned
599,+598,,assigned
599,+599,,assigned
60,+599,,assigned
61,+60,,assigned
62,+61,,assigned
63,+62,,assigned
64,+63,,assigned
65,+64,,assigned
66,+65,,assigned
670,+66,,assigned
671,+670,,assigned
672,+671,,assigned
673,+672,,assigned
674,+673,,assigned
675,+674,,assigned
676,+675,,assigned
677,+676,,assigned
678,+677,,assigned
679,+678,,assigned
680,+679,,assigned
681,+680,,assigned
682,+681,,assigned
683,+682,,assigned
684,+683,,assigned
685,+684,,assigned
686,+685,,assigned
687,+686,,assigned
"Country, Geographical area or Global service",+687,,assigned
689,+688,,assigned
690,+689,,assigned
691,+690,,assigned
692,+691,,assigned
693,+692,,assigned
694,+693,,assigned
695,+694,,assigned
696,+695,,assigned
697,+696,,assigned
698,+697,,assigned
699,+698,,assigned
7,+699,,assigned
7,+7,,assigned
800,+7,,assigned
801,+800,,assigned
802,+801,,assigned
803,+802,,assigned
804,+803,,assigned
805,+804,,assigned
806,+805,,assigned
807,+806,,assigned
808,+807,,assigned
809,+808,,assigned
81,+809,,assigned
82,+81,,assigned
830,+82,,assigned
831,+830,,assigned
832,+831,,assigned
833,+832,,assigned
834,+833,,assigned
835,+834,,assigned
836,+835,,assigned
837,+836,,assigned
838,+837,,assigned
839,+838,,assigned
84,+839,,assigned
850,+84,,assigned
851,+850,,assigned
852,+851,,assigned
853,+852,,assigned
854,+853,,assigned
855,+854,,assigned
856,+855,,assigned
857,+856,,assigned
858,+857,,assigned
859,+858,,assigned
86,+859,,assigned
870,+86,,assigned
871,+870,,assigned
872,+871,,assigned
873,+872,,assigned
874,+873,,assigned
875,+874,,assigned
876,+875,,assigned
877,+876,,assigned
878,+877,,assigned
879,+878,,assigned
"Country, Geographical area or Global service",+879,,assigned
881,+880,,assigned
882,+881,,assigned
883,+882,,assigned
884,+883,,assigned
885,+884,,assigned
886,+885,,assigned
887,+886,,assigned
888,+887,,assigned
889,+888,,assigned
890,+889,,assigned
891,+890,,assigned
892,+891,,assigned
893,+892,,assigned
894,+893,,assigned
895,+894,,assigned
896,+895,,assigned
897,+896,,assigned
898,+897,,assigned
899,+898,,assigned
90,+899,,assigned
91,+90,,assigned
92,+91,,assigned
93,+92,,assigned
94,+93,,assigned
95,+94,,assigned
960,+95,,assigned
961,+960,,assigned
962,+961,,assigned
963,+962,,assigned
964,+963,,assigned
965,+964,,assigned
966,+965,,assigned
967,+966,,assigned
968,+967,,assigned
969,+968,,assigned
970,+969,,assigned
971,+970,,assigned
972,+971,,assigned
973,+972,,assigned
974,+973,,assigned
975,+974,,assigned
976,+975,,assigned
977,+976,,assigned
978,+977,,assigned
979,+978,,assigned
98,+979,,assigned
990,+98,,assigned
991,+990,,assigned
992,+991,,assigned
993,+992,,assigned
994,+993,,assigned
995,+994,,assigned
996,+995,,assigned
997,+996,,assigned
998,+997,,assigned
"Country, Geographical area or Global service",+998,,assigned
"Country, Geographical area or Global service",+999,,assigned
